trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,2.7788903847712896,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,6,-4.024325966169741,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,0,-115.39453722996132,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-98.31867174588433,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,0,-92.2370944723208,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-46.80979621235235,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,2,-105.74021758557424,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,3.5923824417794927,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,0,-48.97822032939403,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-36.62034593096569,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,17,-16.49328940059126,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-82.57416416253203,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,0,-81.808955115787,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-7.7871264130019755,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,16.10555887482699,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",30,0,-56.116726136724246,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-29.782407796684154,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,18,2.7102513239696195,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",35,0,-202.15689746940745,"{0: 25, 1: 1, 2: 3, 3: 2, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,-37.392839944190605,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",25,0,-43.55701943750409,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",25,7,13.143992760505295,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,0,-72.89017460115404,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",25,11,26.61366419704985,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,0,-14.345352854881028,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,0,-93.94823247145052,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,9,-74.92708813462094,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,0,12.562161202028651,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,0,-82.51506211414528,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,11,6.044396617288696,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,0,-61.73348997145197,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",30,9,-49.15651859654991,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,0,-4.521182657802867,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",25,0,-87.61741746767656,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,0,-48.73987465632035,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",25,0,-12.311729543667632,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",25,0,-18.883451708400074,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,0,8.670842967204358,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",20,3,-44.99896189055616,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,0,6.594106438659432,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",30,0,-15.093033736673803,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",30,21,3.2727055400609943,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,8,-34.39533734391929,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",35,0,-42.21123466592622,"{0: 27, 1: 1, 2: 7, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,0,-37.11684091873263,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,0,-21.85174150842202,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",25,11,2.8266700725974365,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",30,0,8.092639194114643,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,0,-13.608966643930767,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,11,18.76175410286031,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",25,0,-7.120574763305962,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",20,8,-4.487816837233942,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,7,-0.703359715787568,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",20,0,-44.18287525603657,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,0,10.189635030939483,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,9,-26.623919224949887,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
