trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
224,False,"{'a': 0.5, 'e': 0.10526490184835903}",25,13,-0.1900788434089522,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10421225282987544}",20,4,15.523578417119282,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157669}",20,13,12.26470888230696,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10213842899856092}",20,12,0.37518174274514204,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10111704470857531}",30,19,10.058101316722535,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148955}",30,16,26.06259654593114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887466}",25,12,23.768520677220582,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.0981137673636859}",30,12,33.53647744355592,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004904}",25,13,8.59665112649413,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314856}",20,10,18.723518205288755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921708}",25,20,9.237591493279702,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.0942476934556249}",20,13,13.25952933256651,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106866}",20,8,21.49485669794401,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
